Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,1080.0,30172.51,0.0,187.39,0.0,-9.19,-23.45,83.17
2000-01-02,1010.0,30253.1,3.98,129.36,0.0,-1.0,-13.2,221.52
2000-01-03,990.0,30344.18,7.49,123.19,0.0,1.78,-9.38,296.45
2000-01-04,968.0,30408.33,4.11,145.66,0.0,2.1,-12.9,224.91
2000-01-05,957.0,30413.48,3.41,157.81,0.0,1.85,-13.2,222.56
2000-01-06,922.0,30485.93,0.0,202.85,0.0,-7.74,-23.21,94.36
2000-01-07,888.0,30598.72,1.43,172.05,0.0,-3.44,-15.52,183.16
2000-01-08,872.0,30733.73,1.85,145.59,0.0,-4.62,-13.65,215.06
2000-01-09,836.0,30758.4,2.73,134.95,0.0,-3.99,-13.36,216.41
2000-01-10,818.0,30798.52,0.0,197.18,0.0,-0.85,-14.51,199.85
2000-01-11,808.0,30944.32,13.53,123.53,0.0,0.26,-9.6,294.49
2000-01-12,803.0,31099.53,0.0,149.34,0.0,0.1,-8.45,321.58
2000-01-13,734.0,31104.68,0.0,177.86,0.0,-8.29,-18.71,144.79
2000-01-14,680.0,31209.29,0.0,153.93,0.0,-15.69,-24.09,80.0
2000-01-15,678.0,31424.91,0.0,175.62,0.0,-17.99,-27.84,68.36
2000-01-16,675.0,31449.61,9.01,194.48,0.0,-14.37,-29.87,40.0
2000-01-17,660.0,31554.92,8.6,118.73,0.0,-10.93,-19.22,129.25
2000-01-18,650.0,31770.52,0.0,184.23,0.0,-14.11,-24.04,84.74
2000-01-19,640.0,31795.92,0.0,229.44,0.0,-14.66,-28.83,50.77
2000-01-20,630.0,31939.46,0.0,255.84,0.0,-12.41,-31.2,40.0
2000-01-21,620.0,32136.34,4.55,186.64,0.0,-12.77,-25.3,80.04
2000-01-22,610.0,32150.34,5.25,99.12,0.0,-16.22,-22.39,107.52
2000-01-23,600.0,32369.58,0.0,200.11,0.0,-15.93,-26.01,80.0
2000-01-24,585.0,32486.42,2.45,185.25,0.0,-11.34,-23.08,92.64
2000-01-25,580.0,32591.71,7.09,189.35,0.0,-6.85,-21.46,119.76
2000-01-26,575.0,32831.98,11.53,172.05,0.0,-3.08,-14.83,194.71
2000-01-27,565.0,32872.09,3.31,173.33,0.0,-6.36,-17.0,160.57
2000-01-28,555.0,33152.95,2.28,160.87,0.0,-12.02,-19.99,120.14
2000-01-29,550.0,33178.32,0.0,203.61,0.0,-9.68,-18.83,136.09
2000-01-30,540.0,33406.36,0.0,285.46,0.0,-3.45,-20.04,120.0
2000-01-31,535.0,33523.2,6.47,245.67,0.0,-0.87,-17.53,160.0
2000-02-01,530.0,33709.13,9.35,141.28,0.0,-2.32,-10.2,280.0
2000-02-02,525.0,33868.83,1.07,192.17,0.0,-4.54,-13.0,225.37
2000-02-03,520.0,34013.06,0.0,194.26,0.0,-9.59,-17.17,158.56
2000-02-04,510.0,34214.42,0.0,319.39,0.0,-10.05,-27.91,65.5
2000-02-05,500.0,34319.71,0.0,327.49,0.0,-9.01,-28.02,62.98
2000-02-06,499.0,34560.02,0.0,300.12,0.0,-9.44,-23.54,80.16
2000-02-07,495.0,34665.32,0.22,310.59,0.0,-6.72,-21.84,114.12
2000-02-08,490.0,34905.6,0.0,343.36,0.0,-6.59,-27.35,80.0
2000-02-09,480.0,35010.92,0.0,320.79,0.0,-4.21,-20.08,120.0
2000-02-10,479.0,35251.23,0.0,354.27,0.0,-5.9,-27.86,64.12
2000-02-11,475.0,35395.48,6.55,242.48,0.0,-7.69,-23.36,89.34
2000-02-12,470.0,35596.84,4.24,236.72,0.0,-8.91,-21.32,120.0
2000-02-13,469.0,35825.56,0.36,336.5,0.0,-8.1,-24.96,80.0
2000-02-14,465.0,35942.37,27.34,224.25,0.0,-5.79,-18.37,145.07
2000-02-15,460.0,36219.34,18.59,103.19,0.0,-5.67,-10.38,274.53
2000-02-16,459.0,36287.98,3.69,275.37,0.0,-3.78,-17.05,160.0
2000-02-17,455.0,36633.61,1.35,287.16,0.0,-7.1,-19.74,120.0
2000-02-18,450.0,36633.61,0.0,395.22,0.0,-12.27,-32.02,40.0
2000-02-19,449.0,36979.2,0.0,409.62,0.0,-5.42,-27.51,68.27
2000-02-20,445.0,37019.28,0.0,415.13,0.0,-3.47,-26.17,80.0
2000-02-21,442.0,37324.8,0.0,376.57,0.0,-5.87,-22.57,103.34
2000-02-22,441.0,37469.05,0.0,431.26,0.0,-6.24,-31.59,40.0
2000-02-23,480.0,37670.41,4.61,284.57,0.0,-0.29,-17.18,163.18
2000-02-24,450.0,38011.58,0.01,328.43,0.0,6.66,-6.57,371.04
2000-02-25,445.0,38016.03,0.0,404.29,0.0,4.88,-13.97,206.72
2000-02-26,440.0,38361.61,0.0,416.34,0.0,2.41,-17.4,160.0
2000-02-27,460.0,38362.3,0.0,282.76,0.0,5.8,-4.93,428.31
2000-02-28,490.0,38707.21,7.61,174.72,0.0,10.62,1.93,714.13
2000-02-29,520.0,38893.1,7.16,146.21,0.0,3.85,-2.89,495.9
2000-03-01,550.0,39052.8,0.0,218.65,0.0,2.14,-5.23,416.19
2000-03-02,580.0,39398.36,6.62,150.38,0.0,3.57,-3.08,489.45
2000-03-03,625.0,39398.36,10.8,77.28,0.0,1.54,-1.47,549.59
2000-03-04,690.0,39744.0,6.66,89.11,0.0,0.73,-2.79,497.91
2000-03-05,710.0,39784.08,2.63,135.95,0.0,0.01,-4.6,435.09
