Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp
2000-01-01,90.0,32140.81,0.0,207.63,0.0,1.02,-9.03,317.32
2000-01-02,90.0,32140.81,0.0,221.76,0.0,5.34,-6.0,398.34
2000-01-03,122.0,32140.81,4.25,174.27,0.0,11.68,-1.19,561.03
2000-01-04,271.0,32142.64,13.4,149.46,0.0,10.99,1.14,657.7
2000-01-05,373.0,32332.23,13.48,191.81,0.0,11.05,-4.82,431.97
2000-01-06,192.0,32486.41,0.0,219.77,0.0,-2.86,-13.31,215.92
2000-01-07,158.0,32486.41,0.0,228.23,0.0,-1.26,-12.33,240.21
2000-01-08,133.0,32486.41,0.0,182.62,0.0,1.23,-6.78,367.54
2000-01-09,115.0,32486.41,0.0,169.83,0.0,-0.11,-7.37,349.27
2000-01-10,226.0,32677.81,0.0,196.28,0.0,4.46,-4.38,440.0
2000-01-11,497.0,32832.0,25.58,81.38,0.0,4.62,0.15,614.48
2000-01-12,266.0,32832.0,0.19,191.25,0.0,6.32,-2.18,525.22
2000-01-13,178.0,32832.0,0.0,149.57,0.0,-0.53,-6.66,363.81
2000-01-14,160.0,32894.35,4.96,203.21,0.0,-5.94,-20.21,126.03
2000-01-15,192.0,33177.6,0.0,237.6,0.0,-10.39,-20.94,120.0
2000-01-16,160.0,33177.6,0.0,270.36,0.0,-6.8,-20.2,120.77
2000-01-17,130.0,33177.6,0.0,304.5,0.0,-0.9,-22.27,106.16
2000-01-18,120.0,33479.96,0.0,181.04,0.0,-17.29,-24.27,84.19
2000-01-19,110.0,33523.2,0.0,258.84,0.0,-11.54,-23.08,92.18
2000-01-20,100.0,33523.2,0.0,212.1,0.0,-9.86,-18.31,160.0
2000-01-21,94.0,33714.62,2.13,178.46,0.0,-9.34,-16.3,161.95
2000-01-22,90.0,33868.81,0.0,246.37,0.0,-13.41,-23.44,90.26
2000-01-23,86.0,33868.81,0.0,243.85,0.0,-14.18,-23.9,83.24
2000-01-24,82.0,34060.22,0.0,266.54,0.0,-8.25,-19.44,120.58
2000-01-25,80.0,34214.4,0.0,276.33,0.0,-0.72,-12.68,240.0
2000-01-26,79.0,34214.4,22.96,127.09,0.0,-4.57,-10.47,277.29
2000-01-27,78.0,34516.75,0.0,275.23,0.0,-5.37,-16.36,160.58
2000-01-28,76.0,34559.99,0.0,216.6,0.0,-13.19,-20.82,120.0
2000-01-29,74.0,34559.99,0.0,249.63,0.0,-12.02,-21.12,120.0
2000-01-30,72.0,34905.61,0.0,345.41,0.0,-0.07,-19.08,127.89
2000-01-31,72.0,34905.61,12.31,264.96,0.0,3.51,-17.49,160.0
2000-02-01,78.0,34967.96,0.0,221.54,0.0,-0.35,-8.03,327.57
2000-02-02,77.0,35251.21,0.11,285.65,0.0,-2.07,-12.81,228.48
2000-02-03,74.0,35251.21,0.0,235.23,0.0,-10.19,-18.05,160.0
2000-02-04,75.0,35596.8,6.19,251.69,0.0,-4.02,-17.6,159.21
2000-02-05,75.0,35596.8,0.0,284.26,0.0,-2.15,-11.97,240.0
2000-02-06,71.0,35788.21,0.0,265.78,0.0,-2.72,-11.41,254.62
2000-02-07,67.0,35942.39,0.0,294.96,0.0,-2.69,-12.69,231.81
2000-02-08,69.0,35942.39,0.0,381.92,0.0,-0.54,-19.18,125.36
2000-02-09,69.0,36288.01,0.0,360.79,0.0,-4.81,-19.6,120.68
2000-02-10,67.0,36288.01,0.0,352.42,0.0,3.63,-10.72,276.65
2000-02-11,71.0,36633.61,4.7,211.07,0.0,5.58,-4.23,442.71
2000-02-12,71.0,36633.61,8.32,283.62,0.0,2.51,-14.06,200.4
2000-02-13,71.0,36979.2,0.0,373.59,0.0,-2.38,-17.56,160.0
2000-02-14,133.0,36979.2,25.04,304.54,0.0,1.32,-17.4,164.13
2000-02-15,218.0,37170.62,15.88,216.3,0.0,2.53,-6.84,366.5
2000-02-16,169.0,37324.8,1.4,300.17,0.0,-0.38,-10.19,280.4
2000-02-17,113.0,37326.64,1.49,346.96,0.0,1.72,-12.25,241.76
2000-02-18,85.0,37670.4,0.0,347.31,0.0,-6.12,-17.32,162.12
2000-02-19,90.0,37670.4,19.0,188.43,0.0,-5.25,-12.42,240.0
2000-02-20,95.0,38015.98,4.06,162.42,0.0,-1.01,-6.83,360.0
2000-02-21,79.0,38015.98,3.24,262.29,0.0,-0.72,-9.99,285.87
2000-02-22,83.0,38361.61,0.0,395.72,0.0,1.36,-11.57,240.65
2000-02-23,83.0,38361.61,0.0,441.3,0.0,6.68,-9.88,280.38
2000-02-24,105.0,38707.21,0.0,385.41,0.0,9.59,-2.93,485.72
2000-02-25,244.0,38707.21,3.28,245.58,0.0,11.16,1.2,655.69
2000-02-26,310.0,39052.79,12.69,195.85,0.0,5.43,-1.77,539.43
2000-02-27,256.0,39052.79,0.0,177.36,0.0,3.65,-0.96,572.03
2000-02-28,719.0,39398.39,9.71,273.46,0.0,12.38,1.3,664.2
2000-02-29,507.0,39398.39,0.0,287.62,0.0,4.69,-2.87,495.99
2000-03-01,349.0,39744.01,0.0,386.92,0.0,4.93,-5.83,400.03
2000-03-02,312.0,39744.01,0.05,426.97,0.0,7.78,-4.98,431.86
2000-03-03,260.0,40089.62,0.0,297.89,0.0,3.21,-4.2,451.52
2000-03-04,230.0,40089.62,0.0,270.65,0.0,1.09,-5.45,410.29
2000-03-05,226.0,40435.18,0.0,367.0,0.0,4.5,-4.83,430.27
2000-03-06,224.0,40435.18,0.0,340.46,0.0,4.92,-3.5,480.0
2000-03-07,231.0,40780.8,0.0,396.96,0.0,5.3,-5.0,440.0
2000-03-08,336.0,40780.8,0.0,492.11,0.0,13.0,-3.03,481.0
2000-03-09,445.0,41126.39,0.0,460.39,0.0,12.74,-0.59,583.6
2000-03-10,702.0,41126.39,10.67,389.59,0.0,17.35,-1.92,532.66
2000-03-11,440.0,41472.01,18.05,204.1,0.0,3.07,-3.02,489.56
2000-03-12,491.0,41472.01,44.66,130.26,0.0,1.04,-2.58,505.78
2000-03-13,439.0,41817.61,9.53,321.86,0.0,1.95,-8.13,330.64
2000-03-14,335.0,41817.61,0.0,428.68,0.0,0.45,-9.27,298.49
2000-03-15,340.0,42163.21,0.0,512.38,0.0,7.07,-6.39,378.12
2000-03-16,528.0,42163.21,0.0,501.68,0.0,12.01,-1.22,562.0
2000-03-17,1050.0,42508.8,18.29,418.24,0.0,16.18,-3.07,485.55
2000-03-18,521.0,42508.8,3.16,403.63,0.0,-2.24,-16.39,171.25
2000-03-19,413.0,42854.4,0.0,534.69,0.0,0.24,-13.83,211.62
2000-03-20,366.0,42854.4,0.0,529.66,0.0,4.51,-9.46,297.13
2000-03-21,355.0,43200.02,0.0,466.76,0.0,6.05,-5.05,423.48
2000-03-22,375.0,43545.61,0.0,438.52,0.0,8.23,-1.89,534.63
2000-03-23,401.0,43545.61,0.0,535.49,0.0,11.37,-3.22,480.0
2000-03-24,444.0,43891.18,0.0,570.95,0.0,15.38,-2.37,520.0
2000-03-25,427.0,43891.18,0.0,569.1,0.0,15.48,-1.97,524.16
2000-03-26,462.0,44236.79,3.28,439.12,0.0,15.16,0.48,638.12
2000-03-27,393.0,44236.79,0.0,546.7,0.0,11.92,-3.35,480.0
2000-03-28,1450.0,44582.4,21.94,403.73,0.0,13.18,-1.98,530.73
2000-03-29,816.0,44582.4,8.79,352.36,0.0,10.98,-0.7,581.86
2000-03-30,575.0,44928.01,4.06,282.72,0.0,7.17,-0.28,598.88
2000-03-31,446.0,44928.01,0.0,421.36,0.0,6.33,-3.38,480.0
2000-04-01,371.0,45273.61,0.0,480.42,0.0,7.67,-3.9,448.03
2000-04-02,335.0,45273.61,0.0,541.29,0.0,13.81,-0.96,572.16
2000-04-03,418.0,45619.21,0.68,396.67,0.0,13.83,3.99,800.0
2000-04-04,990.0,45619.21,20.57,144.97,0.0,10.04,5.91,930.15
2000-04-05,651.0,45964.8,6.81,398.67,0.0,13.88,-0.37,594.08
2000-04-06,463.0,45964.8,0.0,349.25,0.0,3.59,-3.96,458.61
2000-04-07,397.0,46310.4,0.13,533.4,0.0,10.75,-3.19,483.13
2000-04-08,347.0,46310.4,2.05,380.53,0.0,13.25,4.03,820.04
2000-04-09,641.0,46656.0,18.25,467.77,0.0,21.02,-1.4,553.98
2000-04-10,550.0,46656.0,11.06,213.86,0.0,0.56,-5.32,414.06
2000-04-11,430.0,47001.61,0.0,466.89,0.0,5.02,-5.67,401.61
2000-04-12,405.0,47001.61,2.85,336.13,0.0,5.44,-3.94,452.95
2000-04-13,344.0,47347.2,0.0,408.43,0.0,2.99,-5.84,396.27
2000-04-14,304.0,47347.2,0.0,524.75,0.0,7.18,-5.35,413.68
2000-04-15,281.0,47692.8,0.0,594.71,0.0,13.75,-2.76,494.89
2000-04-16,256.0,47692.8,0.0,571.09,0.0,22.17,6.01,932.54
2000-04-17,226.0,48038.4,0.0,624.28,0.0,19.7,-0.16,604.05
